Entity,Category,Year,freshwater-withdrawals-per-kilogram
Apples,Fruits,2010,180.1
Bananas,Fruits,2010,114.5
Barley,Grains,2010,17.1
Beef (beef herd),Meats/Animal Products,2010,1451.2
Beef (dairy herd),Meats/Animal Products,2010,2714.3
Beet Sugar,Sugars,2010,217.7
Berries & Grapes,Fruits,2010,419.6
Brassicas,Vegetables,2010,119.4
Cane Sugar,Sugars,2010,620.1
Cassava,Vegetables,2010,0
Cheese,Dairy,2010,5605.2
Citrus Fruit,Fruits,2010,82.7
Coffee,Other,2010,25.9
Dark Chocolate,Other,2010,540.6
Eggs,Meats/Animal Products,2010,577.7
Fish (farmed),Meats/Animal Products,2010,3691.3
Groundnuts,Nuts,2010,1852.3
Lamb & Mutton,Meats/Animal Products,2010,1802.8
Maize,Vegetables,2010,215.7
Milk,Dairy,2010,628.2
Nuts,Nuts,2010,4133.8
Oatmeal,Grains,2010,482.4
Onions & Leeks,Vegetables,2010,14.3
Other Fruit,Fruits,2010,153.5
Other Pulses,Legumes,2010,435.7
Other Vegetables,Vegetables,2010,102.5
Peas,Vegetables,2010,396.6
Pig Meat,Meats/Animal Products,2010,1795.8
Potatoes,Vegetables,2010,59.1
Poultry Meat,Meats/Animal Products,2010,660
Prawns (farmed),Meats/Animal Products,2010,3515.4
Rice,Grains,2010,2248.4
Root Vegetables,Vegetables,2010,28.4
Soy milk,Dairy,2010,27.8
Tofu,Legumes,2010,148.6
Tomatoes,Fruits,2010,369.8
Wheat & Rye,Grains,2010,647.5
Wine,Other,2010,78.9
